127.0.0.1 - - [15/Oct/2018:11:07:19 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:43 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:44 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:44 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:45 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:45 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:46 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:46 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:47 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 173
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:47 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:48 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:48 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:49 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:49 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:50 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:50 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:51 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:51 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [15/Oct/2018:21:02:52 +0800] "GET /WebSample/sample/html5ajax/ProcessExcelProgress?fileName=f2f37f27df0a403e9365b8b91a4164f7.xls HTTP/1.1" 200 169
127.0.0.1 - - [15/Oct/2018:22:50:26 +0800] "GET /WebSample/index.html HTTP/1.1" 200 5592
